electorate,current_mp,source_url,election_page
Greenvale results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/greenvale-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Hastings results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hastings-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Hawthorn results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hawthorn-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Ivanhoe results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ivanhoe-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Kalkallo results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kalkallo-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Kew results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kew-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Kororoit results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kororoit-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Lara results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lara-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Laverton results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/laverton-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Lowan results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lowan-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Macedon results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/macedon-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Malvern results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/malvern-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Melbourne results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Melton results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melton-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Mildura results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mildura-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Mill Park results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mill-park-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Monbulk results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/monbulk-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Mordialloc results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mordialloc-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Mornington results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mornington-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Morwell results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/morwell-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Mulgrave results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/mulgrave-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Murray Plains results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/murray-plains-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Narre Warren North results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-north-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Narre Warren South results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/narre-warren-south-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Nepean results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/nepean-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Niddrie results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/niddrie-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Northcote results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/northcote-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Oakleigh results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/oakleigh-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Ovens Valley results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ovens-valley-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Pakenham results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/pakenham-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Pascoe Vale results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/pascoe-vale-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Point Cook results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/point-cook-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Polwarth results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/polwarth-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Prahran results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/prahran-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Preston results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/preston-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Richmond results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/richmond-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Ringwood results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ringwood-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Ripon results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ripon-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Rowville results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/rowville-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Sandringham results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/sandringham-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Shepparton results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/shepparton-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
South Barwon results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/south-barwon-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
South-West Coast results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/south-west-coast-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
St Albans results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/st-albans-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Sunbury results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/sunbury-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Sydenham results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/sydenham-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Tarneit results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/tarneit-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Thomastown results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/thomastown-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Warrandyte results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/warrandyte-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Wendouree results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/wendouree-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Werribee results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/werribee-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Williamstown results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/williamstown-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
Yan Yean results,,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/yan-yean-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results
