electorate,candidate,party,votes,source_url,1st_pref_votes
Werribee results,"BARCATTA, Patrizia",,0.55%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/werribee-district-results,213
Werribee results,"BREAKWELL, Kathryn",Labour DLP,1.99%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/werribee-district-results,767
Werribee results,"KWAN, Heni Cazlynn",,0.12%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/werribee-district-results,45
Werribee results,"BODDEKE, Jack",Australian Greens,6.77%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/werribee-district-results,2613
Werribee results,"SHAW, Mia",Liberal,25.33%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/werribee-district-results,9779
Werribee results,"MUNRO, Sue",Victorian Socialists,3.60%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/werribee-district-results,1391
Werribee results,"TANDON, Prashant",New Democrats,0.83%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/werribee-district-results,319
Werribee results,"SEGRAVE, Josh",Animal Justice Party,1.89%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/werribee-district-results,730
Werribee results,"HOPPER, Paul",,5.90%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/werribee-district-results,2278
Werribee results,"EMERSON, Matthew",Family First Victoria,2.50%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/werribee-district-results,964
Werribee results,"HOGAN, Karen",Health Australia Party,0.67%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/werribee-district-results,260
Werribee results,"STROTHER, Mark",Freedom Party of Victoria,1.72%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/werribee-district-results,663
Werribee results,"COLLINS, Trevor Russell",Transport Matters,0.93%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/werribee-district-results,360
Williamstown results,"FISHER, Rochelle",Labour DLP,4.19%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/williamstown-district-results,1632
Williamstown results,"KELLANDER, Daria",Liberal,28.04%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/williamstown-district-results,10928
Williamstown results,"MOSELY, Joshua",Family First Victoria,1.73%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/williamstown-district-results,675
Williamstown results,"ANSALONE, Alexander",Freedom Party of Victoria,2.50%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/williamstown-district-results,976
Williamstown results,"MACANDILI, Julien Q.",Victorian Socialists,3.92%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/williamstown-district-results,1528
Williamstown results,"HORNE, Melissa",Australian Labor Party - Victorian Branch,41.50%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/williamstown-district-results,16173
Williamstown results,"RODOREDA, Suzette",Australian Greens,15.43%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/williamstown-district-results,6013
Williamstown results,"MACKEVICIUS, Patricia",Animal Justice Party,2.69%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/williamstown-district-results,1049
Yan Yean results,"WOOLDRIDGE, Jack",Labour DLP,5.14%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/yan-yean-district-results,2028
Yan Yean results,"HALL, James",Family First Victoria,3.26%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/yan-yean-district-results,1284
Yan Yean results,"MASON, Samantha",Australian Greens,6.44%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/yan-yean-district-results,2537
Yan Yean results,"GRIMLEY, Mandy Anne",Derryn Hinch's Justice Party,2.01%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/yan-yean-district-results,793
Yan Yean results,"WELCH, Richard",Liberal,33.89%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/yan-yean-district-results,13361
Yan Yean results,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,41.42%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/yan-yean-district-results,16328
Yan Yean results,"KRSTIC, Alexandar","Shooters, Fishers & Farmers Vic",2.60%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/yan-yean-district-results,1024
Yan Yean results,"BOUROUTZIS, Con",Freedom Party of Victoria,2.59%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/yan-yean-district-results,1021
Yan Yean results,"PARRAMORE, Ruth",Animal Justice Party,2.65%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/yan-yean-district-results,1043
